Clave de entidad,Entidad federativa,Clave de municipio,Municipio,"Población 2015*
(leer nota al final del cuadro)","Porcentaje de Pobreza
2015","Personas Pobres
2015","Carencias promedio de Pobreza
2015","Porcentaje Pobreza Extrema
2015","Personas Pobreza Extrema
2015","Carencias promedio Pobreza Extrema
2015","Porcentaje
Pobreza Moderada
2015","Personas Pobreza Moderada
2015","Carencias promedio Pobreza Moderada
2015","Porcentaje Vulnerables por carencia social
2015","Personas Vulnerables por carencia social
2015","Carencias promedio Vulnerables por carencia social
2015","Porcentaje Vulnerables por ingreso
2015","Personas Vulnerables por ingreso
2015","Porcentaje No pobres y no vulnerables
2015","Personas No pobres y no vulnerables
2015","Porcentaje Rezago educativo
2015","Personas Rezago educativo
2015","Carencias promedio Rezago educativo
2015","Porcentaje
2015 Carencia por acceso a los servicios de salud","Personas Carencia por acceso a los servicios de salud
2015","Carencias promedio Carencia por acceso a los servicios de salud
2015","Porcentaje Carencia por acceso a la seguridad social
2015","Personas Carencia por acceso a la seguridad social
2015","Carencias promedio Carencia por acceso a la seguridad social
2015","Porcentaje Carencia por calidad y espacios de la vivienda
2015","Personas Carencia por calidad y espacios de la vivienda
2015","Carencias promedio Carencia por calidad y espacios de la vivienda
2015","Porcentaje Carencia por acceso a los servicios básicos en la vivienda 
2015","Personas Carencia por acceso a los servicios básicos en la vivienda
2015","Carencias promedio Carencia por acceso a los servicios básicos en la vivienda
2015","Porcentaje Carencia por acceso a la alimentación
2015","Personas Carencia por acceso a la alimentación
2015","Carencias promedio Carencia por acceso a la alimentación
2015","Porcentaje Población con al menos una carencia social
2015","Personas Población con al menos una carencia social
2015","Carencias promedio Población con al menos una carencia social
2015","Porcentaje Población con tres o más carencias sociales
2015","Personas Población con tres o más carencias sociales
2015","Carencias promedio
 Población con tres o más carencias sociales 2015","Porcentaje  Población con ingreso inferior a la línea de bienestar 
2015","Personas  Población con ingreso inferior a la línea de bienestar
2015","Carencias promedio  Población con ingreso inferior a la línea de bienestar
2015","Porcentaje Población con ingreso inferior a la línea de bienestar mínimo
2015","Personas Población con ingreso inferior a la línea de bienestar mínimo
2015","Carencias promedio Población con ingreso inferior a la línea de bienestar mínimo
2015"
15,México,15001,Acambay,"62,863",73.5,"46,233",2.4,19.8,"12,475",3.5,53.7,"33,758",2,21.7,"13,633",2,1.5,931,3.3,"2,066",25,"15,721",3.1,13,"8,177",3.2,88,"55,302",2.4,14.4,"9,067",3.6,50.5,"31,754",3,32.5,"20,455",3.2,95.2,"59,866",2.3,39.2,"24,627",3.4,75,"47,164",2.4,37.1,"23,336",2.6
15,México,15002,Acolman,"171,774",56.2,"96,512",2,8.6,"14,715",3.3,47.6,"81,797",1.8,18.6,"31,967",1.7,11.7,"20,179",13.5,"23,115",11.2,"19,176",2.7,20.2,"34,621",2.7,62.7,"107,655",2.1,9.6,"16,473",3,18.8,"32,274",2.7,22.8,"39,117",2.5,74.8,"128,479",1.9,19.2,"32,987",3.3,67.9,"116,692",1.7,24.3,"41,814",2
15,México,15003,Aculco,"46,275",61.9,"28,628",2.2,10.7,"4,930",3.5,51.2,"23,698",2,31.4,"14,510",1.8,1.7,791,5.1,"2,345",24.5,"11,349",2.8,8.8,"4,088",3,85.8,"39,700",2.1,11.5,"5,308",3.4,35.6,"16,492",2.9,28.9,"13,384",3,93.2,"43,139",2.1,29,"13,408",3.4,63.6,"29,419",2.2,23.8,"10,993",2.4
15,México,15004,Almoloya de Alquisiras,"14,115",73.4,"10,354",2.3,18.7,"2,638",3.4,54.7,"7,716",1.9,20.9,"2,945",1.8,1.9,262,3.9,554,27,"3,811",2.9,7,986,2.9,86.7,"12,235",2.2,12.7,"1,792",3.5,46.7,"6,598",2.9,26.2,"3,695",3.1,94.2,"13,299",2.2,34.4,"4,858",3.4,75.2,"10,616",2.2,37.5,"5,290",2.5
15,México,15005,Almoloya de Juárez,"179,746",59.9,"107,654",2.3,12.6,"22,666",3.5,47.3,"84,989",2,22.6,"40,576",1.9,6.3,"11,344",11.2,"20,172",21.9,"39,433",3,12.4,"22,250",2.9,73.9,"132,743",2.3,12.9,"23,245",3.4,28.8,"51,856",3.1,31,"55,796",2.9,82.5,"148,230",2.2,28.9,"51,862",3.4,66.2,"118,999",2.1,25.3,"45,397",2.5
15,México,15006,Almoloya del Río,"12,107",61.9,"7,490",1.9,7.3,887,3.4,54.5,"6,604",1.6,22.2,"2,685",1.5,6.6,804,9.3,"1,128",17.1,"2,066",2.6,14.9,"1,799",2.5,78.4,"9,489",1.8,12.8,"1,552",3,3.7,449,3.4,22.1,"2,679",2.7,84,"10,175",1.8,16,"1,939",3.3,68.5,"8,295",1.7,25.1,"3,035",1.9
15,México,15007,Amanalco,"23,366",76.2,"17,796",2.3,17.4,"4,066",3.4,58.8,"13,730",1.9,20.4,"4,758",1.9,1.2,281,2.3,530,29.3,"6,843",2.9,5.5,"1,296",3.1,91.4,"21,351",2.2,15.1,"3,527",3.4,40.5,"9,461",3,27.9,"6,515",3.1,96.5,"22,555",2.2,34.2,"7,988",3.4,77.4,"18,077",2.2,38.9,"9,084",2.4
15,México,15008,Amatepec,"23,595",77.9,"18,378",2.4,23.9,"5,646",3.4,54,"12,732",2,19.2,"4,539",1.8,1,228,1.9,450,32,"7,542",2.9,4.2,987,3.2,86,"20,285",2.3,18.4,"4,341",3.4,56.9,"13,425",2.9,25.2,"5,942",3.3,97.1,"22,917",2.3,39.7,"9,370",3.4,78.9,"18,606",2.4,44.6,"10,532",2.6
15,México,15009,Amecameca,"55,821",57.6,"32,136",1.9,7.6,"4,219",3.4,50,"27,917",1.7,18.2,"10,137",1.6,13,"7,250",11.3,"6,298",10.5,"5,840",2.6,17.3,"9,639",2.5,67.4,"37,636",1.9,21,"11,697",2.6,7.5,"4,192",3.1,13.1,"7,299",2.7,75.7,"42,273",1.8,14.8,"8,263",3.3,70.6,"39,386",1.5,27.9,"15,588",1.8
15,México,15010,Apaxco,"32,521",46.1,"14,983",1.8,4.2,"1,354",3.4,41.9,"13,629",1.7,23.2,"7,544",1.6,13.9,"4,514",16.9,"5,480",13.7,"4,462",2.3,22.9,"7,436",2.5,59.6,"19,366",1.8,6,"1,966",2.9,5.4,"1,744",3,14.1,"4,579",2.5,69.3,"22,527",1.8,11.9,"3,870",3.3,60,"19,497",1.4,17.2,"5,587",1.7
