clave_entidad,entidad_federativa,clave_municipio,municipio,poblacion,pobreza,pobreza_pob,pobreza_e,pobreza_e_pob,pobreza_m,pobreza_m_pob,vul_car,vul_car_pob,vul_ing,vul_ing_pob,npnv,npnv_pob,ic_rezedu,ic_rezedu_pob,ic_asalud,ic_asalud_pob,ic_segsoc,ic_segsoc_pob,ic_cv,ic_cv_pob,ic_sbv,ic_sbv_pob,ic_ali,ic_ali_pob,carencias,carencias_pob,carencias3,carencias3_pob,plb,plb_pob,plbm,plbm_pob
1,Aguascalientes,1001,Aguascalientes,"861,446",26.1,"224,949",1.6,"13,650",24.5,"211,299",26.4,"227,805",11.5,"98,641",36,"310,052",11.7,"100,530",15.1,"129,728",36.4,"313,557",3.7,"32,153",3,"25,494",18,"154,658",52.6,"452,753",7.3,"63,220",37.6,"323,590",10,"86,166"
1,Aguascalientes,1002,Asientos,"46,624",54,"25,169",4.4,"2,067",49.5,"23,101",29,"13,544",7.7,"3,577",9.3,"4,335",19.8,"9,244",6,"2,788",69,"32,175",7.8,"3,633",16.2,"7,553",24.7,"11,494",83,"38,713",14.1,"6,594",61.7,"28,745",24.4,"11,394"
1,Aguascalientes,1003,Calvillo,"52,773",56.8,"29,951",3.1,"1,650",53.6,"28,301",27.6,"14,561",6.3,"3,348",9.3,"4,913",23.2,"12,254",9.9,"5,212",73.6,"38,857",5.2,"2,746",7.7,"4,082",17.3,"9,148",84.3,"44,513",10.5,"5,528",63.1,"33,299",26.8,"14,118"
1,Aguascalientes,1004,Cosío,"15,321",43.2,"6,620",2.8,432,40.4,"6,187",32.7,"5,004",8,"1,232",16.1,"2,466",14.7,"2,251",5.5,846,62.7,"9,608",7.9,"1,215",7.6,"1,167",20.7,"3,175",75.9,"11,623",9.9,"1,522",51.2,"7,852",16.6,"2,546"
1,Aguascalientes,1005,Jesús María,"125,750",25,"31,479",1.7,"2,095",23.4,"29,385",38,"47,831",6.6,"8,314",30.3,"38,126",17.3,"21,712",15.2,"19,076",45,"56,595",8.2,"10,303",6.3,"7,977",18.7,"23,562",63.1,"79,310",11.3,"14,225",31.6,"39,794",7.9,"9,984"
1,Aguascalientes,1006,Pabellón de Arteaga,"45,733",34.9,"15,972",2.2,"1,005",32.7,"14,966",30.2,"13,802",10.5,"4,823",24.4,"11,137",15.3,"7,008",10.5,"4,821",49.8,"22,778",5.8,"2,651",5.8,"2,669",19.4,"8,852",65.1,"29,773",9.2,"4,186",45.5,"20,794",13.8,"6,305"
1,Aguascalientes,1007,Rincón de Romos,"50,895",50.1,"25,483",3.3,"1,660",46.8,"23,824",23.2,"11,833",9.9,"5,014",16.8,"8,565",14.6,"7,427",10.3,"5,265",60.8,"30,964",7.8,"3,979",7.7,"3,895",22.7,"11,533",73.3,"37,316",10.6,"5,373",59.9,"30,498",22.9,"11,671"
1,Aguascalientes,1008,San José de Gracia,"8,768",59.6,"5,228",5.3,464,54.3,"4,764",22.2,"1,945",4.4,388,13.8,"1,206",15.3,"1,340",5.2,459,74.7,"6,551",6.8,594,8.6,752,20.9,"1,832",81.8,"7,173",10.1,882,64.1,"5,616",28.2,"2,475"
1,Aguascalientes,1009,Tepezalá,"20,484",50.7,"10,378",3.1,643,47.5,"9,735",31.2,"6,393",7.1,"1,447",11.1,"2,266",20.8,"4,258",8.3,"1,690",68.2,"13,965",6.1,"1,257",10.5,"2,142",21.4,"4,391",81.9,"16,771",11.2,"2,299",57.7,"11,825",21,"4,305"
1,Aguascalientes,1010,El Llano,"19,955",55.1,"10,988",5.3,"1,064",49.7,"9,924",26,"5,181",8.2,"1,627",10.8,"2,158",19.7,"3,922",9.1,"1,819",63.8,"12,724",8.2,"1,631",17.1,"3,416",24.8,"4,939",81,"16,170",14.4,"2,883",63.2,"12,615",26.3,"5,249"
